Cve_Entidad,Desc_Entidad,Cve_Municipio,Desc_municipio,Tema_nivel_1,Tema_nivel_2,Tema_nivel_3,Id_Indicador,Indicador,1895,1900,1910,1921,1930,1940,1950,1952,1960,1970,1971,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,UnidadMedida
01,Aguascalientes,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000551,Averiguaciones previas iniciadas por las procuradurías y fiscalías generales de justicia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18539,23623,18082,17443,19212,,Averiguaciones previas
01,Aguascalientes,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000552,Averiguaciones previas iniciadas por las procuradurías y fiscalías generales de justicia (con presentación del probable responsable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7801,7226,,,Averiguaciones previas
01,Aguascalientes,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000553,Averiguaciones previas iniciadas por las procuradurías y fiscalías generales de justicia (sin especificar la presentación o no del probable responsable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18539,23623,0,0,,,Averiguaciones previas
01,Aguascalientes,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000554,Averiguaciones previas iniciadas por las procuradurías y fiscalías generales de justicia (sin presentación del probable responsable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10281,10217,,,Averiguaciones previas
01,Aguascalientes,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000555,Averiguaciones previas iniciadas y carpetas de investigación abiertas por las procuradurías y fiscalías generales de justicia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18539,23623,18082,17443,,,Averiguaciones previas y carpetas de investigación
01,Aguascalientes,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000556,Carpetas de investigación abiertas por las procuradurías y fiscalías generales de justicia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,,Carpetas de investigación
01,Aguascalientes,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000557,Carpetas de investigación abiertas por las procuradurías y fiscalías generales de justicia (con presentación del probable responsable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carpetas de investigación
01,Aguascalientes,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000558,Carpetas de investigación abiertas por las procuradurías y fiscalías generales de justicia (sin especificar la presentación o no del probable responsable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,Carpetas de investigación
01,Aguascalientes,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000559,Carpetas de investigación abiertas por las procuradurías y fiscalías generales de justicia (sin presentación del probable responsable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carpetas de investigación
01,Aguascalientes,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000575,Averiguaciones previas y carpetas de investigación determinadas por las procuradurías y fiscalías generales de justicia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18539,5139,4047,6170,,,Averiguaciones previas y carpetas de investigación
